SMILES,"Ki (nM)"
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)O)cc3)[nH]c2n(CCC)c1=O,140
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]c2n(CCC)c1=O,4.22
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]c2n(CCC)c1=O,40.1
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)[nH]c2n(CCC)c1=O,272
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)[nH]c2n(CCC)c1=O,17.9
O=S(=O)(c1ccccc1)c1nc(NCc2cccc3ccccc23)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,2000
OC[C@H]1OC(n2cnc3c(NCC4c5ccccc5-c5ccccc54)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,8900
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,602
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,4890
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,13.1
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,57
OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O,0.59
COc1cc(OC)cc(C(CNc2ncnc3c2ncn3C2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccccc2)c1,30
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)OC)cc4)cc3)[nH]c2n(CCC)c1=O,38.4
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)OC)cc4)cc3)[nH]c2n(CCC)c1=O,225
Nc1nc(NCC2c3ccccc3-c3ccccc32)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,18.5
OC[C@H]1OC(n2cnc3c(NC4CC5CCC4C5)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,7.7
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,9.3
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,1.2
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,6.82
O=C(Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12)c1cccc(I)c1,200
CC(=O)c1ccccc1NC(=O)/C=C/c1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,34300
OC[C@H]1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,2700
COc1cc(OC)cc(C(CNc2nc(Nc3ccccc3)nc3c2ncn3C2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccccc2)c1,9000
CC(C)(C)C(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,205
Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,1
OC[C@H]1OC(n2cnc3c(NCc4cccc5ccccc45)nc(NCc4ccccc4)nc32)[C@H](O)[C@@H]1O,530
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)[nH]c2n(CCC)c1=O,6.35
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)[nH]c2n(CCC)c1=O,49.7
