SMILES,"Ki (nM)"
CC(=O)O.CCCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,2.27
NC1CCN(CCc2ccccc2)CC1,100
COCC(=O)N(c1cccc2nsnc12)C1CCN(CCc2ccccc2)CC1,
CC(=O)O.CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O,2.21
CCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,2148
CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,4705
COCC(=O)N(c1ccc(Cl)nc1)C1CCN(CCc2ccccc2)CC1,
O=C(c1ccoc1)N(c1cnccn1)C1CCN(CCc2ccccc2)CC1,
CC(=O)O.N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O,3.1
N[C@@H](c1cccc(C(F)(F)F)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,1967
Cc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,488
COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13.Cl,740
O=C(c1ccoc1)N(c1cccnc1Cl)C1CCN(CCc2ccccc2)CC1,21.3
COCC(=O)N(c1nc2ccccc2s1)C1CCN(CCc2ccccc2)CC1,
CCCCC(CCCC)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,9666
O=C(c1ccoc1)N(c1cccc2nsnc12)C1CCN(CCc2ccccc2)CC1,2.64
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,50
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1cccc(F)c1)c1cccc(F)c1,4317
CCCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1939
CCCCC(c1cc(F)cc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,3975
COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13.Cl,13000
CC(=O)O.CC(C)C[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CCCCNC1=O,4.73
O=C(c1ccco1)N(c1ccncc1)C1CCN(CCc2ccccc2)CC1,
O=C(c1ccco1)N(c1nc2ccccc2o1)C1CCN(CCc2ccccc2)CC1,
CCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,8067
O=C(c1ccco1)N(c1cccnc1)C1CCN(CCc2ccccc2)CC1,8.42
CC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,63
C[C@H]1CN(CCc2ccccc2)CC[C@@]1(C)c1cccc(O)c1,1.5
O=C(c1ccco1)N(c1cccc2nsnc12)C1CCN(CCc2ccccc2)CC1,
CC(=O)O.CC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,5.61
O=C(c1ccco1)N(C1CCN(CCc2ccccc2)CC1)N1CCOCC1,100
O=C(c1ccoc1)N(c1ccncc1)C1CCN(CCc2ccccc2)CC1,100
O=C(c1ccco1)N(c1cc(Cl)ncn1)C1CCN(CCc2ccccc2)CC1,18.5
COCC(=O)N(c1ccc2[nH]ncc2c1)C1CCN(CCc2ccccc2)CC1,
O=C(CCC(=O)NCC(=O)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)NCC(=O)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.5
CN1CC[C@]23c4c5ccc(O)c4O[C@@H]2[C@H](NC(=O)CNC(=O)CNC(=O)CCC(=O)NCC(=O)NCC(=O)N[C@@H]2CC[C@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@@H]2O8)CC[C@]3(O)[C@H]1C5,10
Cc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1F,152
O=C(NC1CCN(CCc2ccccc2)CC1)c1ccoc1,100
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1.07
N[C@@H](c1cc(F)cc(F)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,4245
CCCCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1494
COCC(=O)N(c1nc2ccccc2o1)C1CCN(CCc2ccccc2)CC1,
N[C@@H](c1cccc(C(F)(F)F)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,6088
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3452
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(Br)cc1)c1ccc(Br)cc1,2502
O=C(c1ccco1)N(C1CCN(CCc2ccccc2)CC1)N1CCCCC1,7.7
O=C(c1ccoc1)N(c1ncccn1)C1CCN(CCc2ccccc2)CC1,35.4
CC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.4
C[C@]12Cc3ccccc3C[C@@]1(c1cccc(O)c1)CCN(CCc1ccccc1)C2,11.2
C[C@]12Cc3ccccc3C[C@@]1(c1cccc(O)c1)CCN(CCc1ccccc1)C2,10
N[C@@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,1654
O=C(c1ccco1)N(c1ncccn1)C1CCN(CCc2ccccc2)CC1,13.9
CC(=O)O.CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CNC1=O,53.2
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CNC(=O)CCC(=O)NCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,14
