SMILES,"Ki (nM)"
CN(C)CCOCCOC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1,13
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,25
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,50000
CC(CN(C)C)OC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,17
COCCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,15
CN(C)CCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,11
CN(C)CCOCCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,12
CN(C)CCOC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1,16
CC(CN(C)C)OC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1,18
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,100
CN(C)CCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,15
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,15
Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1cccc(C(=O)O)c1,73
COCCOC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1,17
CN(C)CCOCCOC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1,15
CN(C)CCOC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1,13
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(C(=O)O)cc2)s1,45
NS(=O)(=O)c1nnc(NS(=O)(=O)c2cccc(C(=O)OCCO)c2)s1,16
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(C(=O)OCCO)cc2)s1,14
CC(CN(C)C)OC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,13
CCN(CC)CCNC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,14
CCN(CC)CCNC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1,16
CC(CN(C)C)OC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1,15
CCN(CC)CCNC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1,12
CN(C)CCOCCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,13
Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1ccc(C(=O)OCCO)cc1,20
Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1ccc(C(=O)O)cc1,50
CCN(CC)CCNC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,10
Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1cccc(C(=O)OCCO)c1,23
COCCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,12
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,250
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1c(F)c(F)c(F)c(F)c1F,270
CC(=O)Nc1nnc(S(N)(=O)=O)s1,250
NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,40
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,50
NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3[nH]cc(Cl)c23)cc1,31
NS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)NCC(=O)O)ccc1Cl,41
NS(=O)(=O)c1cc(C(=O)NCCC(=O)O)ccc1Cl,205
NC(=O)CC[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,250
NC(=O)CC[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,425
NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1,500
NS(=O)(=O)c1ccc(C(=O)NCCCC(=O)O)cc1,415
NS(=O)(=O)c1ccc(C(=O)N[C@@H](CS)C(=O)O)cc1,450
NS(=O)(=O)c1ccc(NC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,38
NS(=O)(=O)c1cc(C(=O)NCCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)ccc1Cl,30
NS(=O)(=O)c1cc(C(=O)Nc2nnc(S)s2)ccc1Cl,15
C[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,425
CC(C)C[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,125
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,3
CC(C)C[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,405
NS(=O)(=O)c1ccc(C(=O)N[C@@H](CO)C(=O)O)cc1,440
C[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,175
NS(=O)(=O)c1ccc(C(=O)NCCC(=O)O)cc1,435
NS(=O)(=O)c1ccc(C(=O)NC(C(=O)O)c2ccccc2)cc1,250
NS(=O)(=O)c1ccc(C(=O)NCC(=O)NCC(=O)O)cc1,350
C[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,36
NS(=O)(=O)c1ccc(CNC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)cc1,24
CC[C@H](C)[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,150
