SMILES,"Ki (nM)"
O=C(CCCc1ccc(I)cc1)OCCCc1c[nH]cn1,31.62
O=C(Nc1ccccc1I)OCCCc1c[nH]cn1,25
O=C(Nc1ccccc1I)OCCCc1c[nH]cn1,25.12
O=C(Nc1ccccc1I)OCCCc1c[nH]cn1,25.12
O=C(OCCCc1c[nH]cn1)c1ccc(I)cc1,20
O=C(OCCCc1c[nH]cn1)c1ccc(I)cc1,19.95
O=C(OCCCc1c[nH]cn1)c1ccc(I)cc1,7.943
Cl.OCCCc1c[nH]cn1,398.11
Cl.OCCCc1c[nH]cn1,630.96
O=C(OCCCc1c[nH]cn1)c1cccc(I)c1,25
O=C(OCCCc1c[nH]cn1)c1cccc(I)c1,25.12
O=C(OCCCc1c[nH]cn1)c1cccc(I)c1,3.981
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,3.981
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,1.995
COc1ccc(CCC(=O)OCCCc2c[nH]cn2)cc1I,232
COc1ccc(CCC(=O)OCCCc2c[nH]cn2)cc1I,251.19
COc1ccc(CCC(=O)OCCCc2c[nH]cn2)cc1I,199.53
O=C(Nc1ccc(I)cc1)OCCCc1c[nH]cn1,11
O=C(Nc1ccc(I)cc1)OCCCc1c[nH]cn1,10
O=C(Nc1ccc(I)cc1)OCCCc1c[nH]cn1,7.943
O=C(Nc1cccc(I)c1)OCCCc1c[nH]cn1,16
O=C(Nc1cccc(I)c1)OCCCc1c[nH]cn1,15.85
O=C(Nc1cccc(I)c1)OCCCc1c[nH]cn1,7.943
Ic1cccc(OCCCc2c[nH]cn2)c1,17
Ic1cccc(OCCCc2c[nH]cn2)c1,15.85
Ic1cccc(OCCCc2c[nH]cn2)c1,2.512
O=C(CCc1ccc(I)cc1)OCCCc1c[nH]cn1,47
O=C(CCc1ccc(I)cc1)OCCCc1c[nH]cn1,50.12
O=C(CCc1ccc(I)cc1)OCCCc1c[nH]cn1,79.43
O=C(OCCCc1c[nH]cn1)c1ccccc1I,39
O=C(OCCCc1c[nH]cn1)c1ccccc1I,39.81
O=C(OCCCc1c[nH]cn1)c1ccccc1I,19.95
Cc1ccc(C(=O)OCCCc2c[nH]cn2)cc1I,30
Cc1ccc(C(=O)OCCCc2c[nH]cn2)cc1I,31.62
Cc1ccc(C(=O)OCCCc2c[nH]cn2)cc1I,5.012
O=C(Cc1ccc(I)cc1)OCCCc1c[nH]cn1,14
O=C(Cc1ccc(I)cc1)OCCCc1c[nH]cn1,12.59
O=C(Cc1ccc(I)cc1)OCCCc1c[nH]cn1,12.59
O=C(NCc1ccc(I)cc1)OCCCc1c[nH]cn1,12
O=C(NCc1ccc(I)cc1)OCCCc1c[nH]cn1,12.59
O=C(NCc1ccc(I)cc1)OCCCc1c[nH]cn1,12.59
Ic1ccc(COCCCc2c[nH]cn2)cc1,5
Ic1ccc(COCCCc2c[nH]cn2)cc1,5.012
Ic1ccc(COCCCc2c[nH]cn2)cc1,1
Nc1c(I)cc(C(=O)OCCCc2c[nH]cn2)cc1I,146
Nc1c(I)cc(C(=O)OCCCc2c[nH]cn2)cc1I,158.49
Nc1c(I)cc(C(=O)OCCCc2c[nH]cn2)cc1I,31.62
Cc1[nH]cnc1CSCCNC(=N)NCCCc1c[nH]cn1,63.1
Cc1[nH]cnc1CSCCNC(=N)NCCCc1c[nH]cn1,39.81
Ic1cccc(COCCCc2c[nH]cn2)c1,7
Ic1cccc(COCCCc2c[nH]cn2)c1,6.31
Ic1cccc(COCCCc2c[nH]cn2)c1,1.259
Ic1ccc(CCCOCCCc2c[nH]cn2)cc1,35
Ic1ccc(CCCOCCCc2c[nH]cn2)cc1,31.62
Ic1ccc(CCCOCCCc2c[nH]cn2)cc1,7.943
Brc1ccc(COCCCc2c[nH]cn2)cc1,14
Brc1ccc(COCCCc2c[nH]cn2)cc1,12.59
Brc1ccc(COCCCc2c[nH]cn2)cc1,1.259
Ic1ccc(OCCCc2c[nH]cn2)cc1,22
Ic1ccc(OCCCc2c[nH]cn2)cc1,19.95
Ic1ccc(OCCCc2c[nH]cn2)cc1,3.162
C[C@@H](N)Cc1c[nH]cn1,0.88
CC#Cc1ccc(OCCCc2c[nH]cn2)cc1,7.5
FC(F)(F)c1cc(OCCCc2c[nH]cn2)cc(C(F)(F)F)c1,116
c1ccc(OCCCc2c[nH]cn2)cc1,55
N[C@H]1C[C@H]1c1c[nH]cn1,1380
NC[C@@H]1C[C@H]1c1c[nH]cn1,22.6
FC(F)(F)c1cccc(SCCCc2c[nH]cn2)c1,38
N[C@H]1C[C@@H]1c1c[nH]cn1,4.3
Br.CN(C)C(=N)SCCc1c[nH]cn1,500
CC(=O)c1cccc(OCCCc2c[nH]cn2)c1,20
CC(C)(C)C#Cc1ccc(OCCCc2c[nH]cn2)cc1,123
N=C(NCc1ccc(Cl)cc1)SCCCc1c[nH]cn1,0.6
C#Cc1ccc(OCCCc2c[nH]cn2)cc1,2.3
COc1cc(N)c(Cl)cc1C(=O)NC1CC2CCC(C1)N2C,0.3162
FC(F)(F)c1cccc(SCCc2c[nH]cn2)c1,23
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,4
O=[N+]([O-])c1cccc(OCCCc2c[nH]cn2)c1,9.4
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,4
FC(F)(F)c1ccccc1OCCCc1c[nH]cn1,500
CC(C)(C)c1cccc(OCCCc2c[nH]cn2)c1,22
Brc1cccc(OCCCc2c[nH]cn2)c1,19
COc1nc(N)c(Cl)cc1C(=O)NC1CC2CCCC(C1)N2C,0.3981
CCCC#Cc1ccc(OCCCc2c[nH]cn2)cc1,140
C[Si](C)(C)C#Cc1ccc(OCCCc2c[nH]cn2)cc1,36
NC[C@H]1C[C@H]1c1c[nH]cn1,64.7
NCC[C@H]1C[C@H]1c1c[nH]cn1,4.78
N#Cc1ccc(OCCCc2c[nH]cn2)cc1,12
FC(F)(F)c1ccc(OCCCc2c[nH]cn2)cc1,14
CC(C)c1cccc(OCCCc2c[nH]cn2)c1,29
