SMILES,"Ki (nM)"
O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,2570
O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,0.56
O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,8.1
O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,8
Cc1ccc(CN2CCN(C3CCc4cccc5c4N(C3=O)C(C)(C)C5)CC2)cc1,165
OC1CCc2c(c3ccccc3n2CCCN2CCN(c3ccccc3)CC2)C1,180
COc1cccc2c1CC[C@H]1CN(CCn3c(=O)[nH]c4c(sc5cccnc54)c3=O)C[C@@H]21,19.7
CN1CCc2cc(Cl)c(O)cc2C(C2C=CC=CC=C2)C1,1800
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,41.69
CCc1c(C)[nH]c2c1C(=O)C(CCN1CCOCC1)CC2,588.84
COc1cc(C)ccc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,952
COc1cc2c(cc1OC)C(CCN1CCN(c3cccc4c3OCCO4)CC1)CC2,131.83
c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,9.7
c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,107
c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,257.5
C=CCC1CN(C)CCc2cc(Cl)c(O)cc21,284
CN1CCc2cc(Cl)c(O)cc2C(C2CCCC2)C1,2050
COc1ccc(Cl)cc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,220
OC1(c2cccc(C(F)(F)F)c2)CCN(Cc2ccn(-c3ccccc3)c2)CC1,237
Fc1ccc(C(OCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)c2ccc(F)cc2)cc1,927
C#CCC1CN(C)CCc2cc(Cl)c(O)cc21,626
CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)Cc2ccccc21,21
COc1ccccc1N1CCN(Cc2ccc(-c3ccccc3)n2C)CC1,0.8
O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1CCc2ccccc21,690
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1c2ccccc2-c2ccccc21,10
O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,11
c1ccc(CN2CCC3(CCc4ccccc4O3)CC2)cc1,10000
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.8
CN(C)CCCC1CN(C)CCc2cc(Cl)c(O)cc21,100000
CN1CCc2cc(Cl)c(O)cc2C2(CCCC2)C1,2250
CN1CCc2cc(Cl)c(O)cc2C(C2C=CCCC2)C1,581
Cc1ccc(CN2CCN(C3CCc4cccc5c4N(C3=O)C(C)C5)CC2)cc1,26
COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,17.38
Fc1ccc(C(OCCOC2CC3CCC(C2)N3)c2ccc(F)cc2)cc1,1120
O=C1c2ccccc2C(=O)N1CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,120
O=C(NCCCN1CCN(c2ccccc2)CC1)C1c2ccccc2-c2ccccc21,606
Oc1cccc(N2CCN(Cc3ccccc3)CC2)c1,5.5
Oc1cccc(N2CCN(Cc3ccccc3)CC2)c1,95.1
Oc1cccc(N2CCN(Cc3ccccc3)CC2)c1,246
c1ccc(CN2CCN(c3cccc4[nH]ccc34)CC2)cc1,3.2
c1ccc(CN2CCN(c3cccc4[nH]ccc34)CC2)cc1,17.4
c1ccc(CN2CCN(c3cccc4[nH]ccc34)CC2)cc1,53
c1ccc(C2CCN(Cc3ccn(-c4ccccc4)c3)CC2)cc1,21
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,5
COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,31.62
Oc1nc2ccccc2n1C1CCN(Cc2ccn(-c3ccccc3)c2)CC1,176
C1=C(c2ccccc2)CCN(Cc2ccn(-c3ccccc3)c2)C1,6
CN1C2CCC1CC(OC1c3ccccc3Cc3ccccc31)C2,672
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,2511.89
CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,760
c1ccc(CN2CCC3(CCc4ccccc4S3)CC2)cc1,10400
Fc1ccc(C(O[C@H]2C[C@H]3CC[C@@H](C2)N3CCCCc2ccccc2)c2ccc(F)cc2)cc1,81.3
O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1c2ccccc2-c2ccccc21,414
[O-][S+]1c2ccccc2CCC12CCN(Cc1ccccc1)CC2,10000
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,26.8
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,12.2
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,47
FC(F)(F)c1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,0.51
FC(F)(F)c1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,3.3
FC(F)(F)c1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,4.1
Clc1cccc(C(OC2CC3CCC(C2)N3CCCc2ccccc2)c2ccccc2)c1,59
COc1ccc(C)cc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,313
c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2,346.74
c1ccc(-n2ccc(CN3CCN(c4ccccn4)CC3)c2)cc1,25
O=C(NCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,5
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,5.012
Clc1ccc2[nH]ccc2c1N1CCN(Cc2ccccc2)CC1,9.1
Clc1ccc2[nH]ccc2c1N1CCN(Cc2ccccc2)CC1,42.3
Clc1ccc2[nH]ccc2c1N1CCN(Cc2ccccc2)CC1,81.3
O=C1NCN(c2ccccc2)C12CCN(Cc1ccn(-c3ccccc3)c1)CC2,36
c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCCO4)CC1)C2,194.98
OC1(c2ccc(Cl)cc2)CCN(Cc2ccn(-c3ccccc3)c2)CC1,151
O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1Cc1ccccc1-2,473
COc1ccccc1N1CCN(C[C@@H](C(=O)NC(C)(C)C)c2ccccc2)CC1,389.05
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,254
Fc1ccc(C(OC2CC3CCC(C2)N3Cc2cccc3ccccc23)c2ccc(F)cc2)cc1,379
Fc1ccc(C(OC2CC3CCC(C2)N3Cc2cc3ccccc3[nH]2)c2ccc(F)cc2)cc1,218
Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccccc2)c2ccc(F)cc2)cc1,132
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.09
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,73.2
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.13
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,60
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.04
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,60.1
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.06
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,78
O=C1c2ccccc2CCC12CCN(Cc1ccccc1)CC2,5500
CCCN1CCC[C@@H](c2cccc(OS(=O)(=O)c3ccc(C)cc3)c2)C1,1320
CCCN1CCC[C@@H](c2cccc(OS(=O)(=O)c3ccc(C)cc3)c2)C1,217
CCCN1CCC[C@@H](c2cccc(O)c2)C1,100
CCCN1CCC[C@@H](c2cccc(O)c2)C1,39
CCCN1CCC[C@@H](c2cccc(O)c2)C1,8.5
CCCN1CCC[C@@H](c2cccc(NS(=O)(=O)C(F)(F)F)c2)C1,217
CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1,6270
CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1,217
CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1,447
C=CCN1CC[C@@H]2c3cccc(OC)c3CC[C@@H]21,217
C=CCN1CC[C@@H]2c3cccc(OC)c3CC[C@@H]21,339
COc1cccc(C(=O)CCCN2CCN(c3ccc(Cl)cc3)CC2)c1,2550
COc1cccc(CNCCN2CCN(c3ccc(Cl)cc3)CC2)c1,5000
C=CCN1CC[C@@H]2c3cccc(OC)c3CC[C@H]21,217
C=CCN1CC[C@@H]2c3cccc(OC)c3CC[C@H]21,50
COc1ccccc1N1CCN(CNC(=O)c2ccc(Cl)cc2)CC1,349
COc1ccccc1N1CCN(CCCNC(=O)C2CCCc3cccc(OC)c32)CC1,40
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1.7
C=CCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21,172
C=CCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21,217
N#Cc1cccc([C@@H]2CCCN(CC3CC3)C2)c1,3100
N#Cc1cccc([C@@H]2CCCN(CC3CC3)C2)c1,217
N#Cc1cccc([C@@H]2CCCN(CC3CC3)C2)c1,519
CN1CCc2ccc3c4c2[C@H]1Cc1cccc(c1-4)[C@@H]3N,2250
O=C(NCN1CCN(c2ccccc2Cl)CC1)c1ccccc1,1500
COc1cccc(C(=O)CCCN2CCN(c3ccccc3OC)CC2)c1,3
CCCN1CCC[C@@H](c2cccc(Br)c2)C1,533
CCCN1CCC[C@@H](c2cccc(Br)c2)C1,170
C=CCN1CCC2c3cccc(C(N)=O)c3CCC21,172
C=CCN1CCC2c3cccc(C(N)=O)c3CCC21,217
C=CCN1CCC2c3cccc(C(N)=O)c3CCC21,1500
CN(C)CCCN1CCC[C@@H](c2cccc(C#N)c2)C1,2330
