SMILES,"Ki (nM)"
Nc1ccccc1S(N)(=O)=O,295
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,8
N=C(N)NCCCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,15
NS(=O)(=O)c1ccc(N/C(S)=N/C(C(=O)O)C(O)c2ccccc2)cc1,2
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]cn2)C(=O)O)cc1,5
NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NC(Cc2ccccc2)C(=O)O)cc1,3
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccn2)cc1,40
COCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,3.9
COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl,1.34
CC(C)CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl,2.7
NS(=O)(=O)OCCOc1ccc(-n2ccnc2)cc1,7
Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2s1,1.1
COCCOCCNC(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl,3.05
CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,20.9
CC(=O)Nc1nnc(S(N)(=O)=O)s1,6
CC(=O)Nc1nnc(S(N)(=O)=O)s1,22
Cl.NS(=O)(=O)c1cc2cc(CN(CCO)CCO)sc2s1,2.6
CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl,11.8
CC(=O)Nc1nnc(S(N)(=O)=O)s1,12
COCCNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl,3.1
NS(=O)(=O)c1cc2cc(C(=O)NCC(O)CO)sc2s1,3.4
CC(C)CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,4.4
COCCOCCN(CCOC)C(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl,1.54
NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,1.24
Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1,0.44
Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCSCC3)sc2s1,4.02
CC(C=O)N(Cc1cc2cc(S(N)(=O)=O)sc2s1)C(C)C=O.Cl,1.49
COCCN(CCOC)Cc1cc2sc(S(N)(=O)=O)cc2s1.Cl,0.95
Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCOCC3)sc2s1,6.38
C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,10
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.372
NS(=O)(=O)c1cc2cc(CN3CC[S+]([O-])CC3)sc2s1,3.4
C[S+]([O-])CCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,5.5
NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2,3.3
CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.635
Cl.NS(=O)(=O)c1cc2cc(CNCC3CC3)sc2s1,6.7
COCCOCCN(CCOC)C(Cc1ccc(F)cc1)c1cc2cc(S(N)(=O)=O)sc2s1,6.54
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,8
NS(=O)(=O)C(F)(F)F,2
